Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Sexo;Edad;Grado de urbanización;Periodo;Total
Total Nacional;01 Andalucía;;Total;De 16 a 64 años;Área densamente poblada;2025;2.696.293
Total Nacional;01 Andalucía;;Total;De 16 a 64 años;Área densamente poblada;2024;2.682.794
Total Nacional;01 Andalucía;;Total;De 16 a 64 años;Área densamente poblada;2023;2.668.792
Total Nacional;01 Andalucía;;Total;De 16 a 64 años;Área densamente poblada;2022;2.643.139
Total Nacional;01 Andalucía;;Total;De 16 a 64 años;Área densamente poblada;2021;2.645.484
Total Nacional;01 Andalucía;;Total;De 16 a 64 años;Área poblada nivel intermedio;2025;2.398.547
Total Nacional;01 Andalucía;;Total;De 16 a 64 años;Área poblada nivel intermedio;2024;2.383.618
Total Nacional;01 Andalucía;;Total;De 16 a 64 años;Área poblada nivel intermedio;2023;2.368.967
Total Nacional;01 Andalucía;;Total;De 16 a 64 años;Área poblada nivel intermedio;2022;2.343.974
Total Nacional;01 Andalucía;;Total;De 16 a 64 años;Área poblada nivel intermedio;2021;2.324.247
Total Nacional;01 Andalucía;;Total;De 16 a 64 años;Área poco poblada;2025;631.986
Total Nacional;01 Andalucía;;Total;De 16 a 64 años;Área poco poblada;2024;634.076
Total Nacional;01 Andalucía;;Total;De 16 a 64 años;Área poco poblada;2023;636.705
Total Nacional;01 Andalucía;;Total;De 16 a 64 años;Área poco poblada;2022;636.680
Total Nacional;01 Andalucía;;Total;De 16 a 64 años;Área poco poblada;2021;636.412
Total Nacional;01 Andalucía;;Total;65 y más años;Total;2025;1.659.589
Total Nacional;01 Andalucía;;Total;65 y más años;Total;2024;1.613.213
Total Nacional;01 Andalucía;;Total;65 y más años;Total;2023;1.568.040
Total Nacional;01 Andalucía;;Total;65 y más años;Total;2022;1.527.188
Total Nacional;01 Andalucía;;Total;65 y más años;Total;2021;1.495.638
Total Nacional;01 Andalucía;;Total;65 y más años;Área densamente poblada;2025;802.782
Total Nacional;01 Andalucía;;Total;65 y más años;Área densamente poblada;2024;781.415
Total Nacional;01 Andalucía;;Total;65 y más años;Área densamente poblada;2023;759.366
Total Nacional;01 Andalucía;;Total;65 y más años;Área densamente poblada;2022;738.993
Total Nacional;01 Andalucía;;Total;65 y más años;Área densamente poblada;2021;724.565
Total Nacional;01 Andalucía;;Total;65 y más años;Área poblada nivel intermedio;2025;629.972
Total Nacional;01 Andalucía;;Total;65 y más años;Área poblada nivel intermedio;2024;609.779
Total Nacional;01 Andalucía;;Total;65 y más años;Área poblada nivel intermedio;2023;590.762
Total Nacional;01 Andalucía;;Total;65 y más años;Área poblada nivel intermedio;2022;573.078
Total Nacional;01 Andalucía;;Total;65 y más años;Área poblada nivel intermedio;2021;557.828
Total Nacional;01 Andalucía;;Total;65 y más años;Área poco poblada;2025;226.835
Total Nacional;01 Andalucía;;Total;65 y más años;Área poco poblada;2024;222.019
Total Nacional;01 Andalucía;;Total;65 y más años;Área poco poblada;2023;217.912
Total Nacional;01 Andalucía;;Total;65 y más años;Área poco poblada;2022;215.117
Total Nacional;01 Andalucía;;Total;65 y más años;Área poco poblada;2021;213.245
Total Nacional;01 Andalucía;;Hombres;Todas las edades;Total;2025;4.269.107
Total Nacional;01 Andalucía;;Hombres;Todas las edades;Total;2024;4.249.355
Total Nacional;01 Andalucía;;Hombres;Todas las edades;Total;2023;4.229.831
Total Nacional;01 Andalucía;;Hombres;Todas las edades;Total;2022;4.196.620
Total Nacional;01 Andalucía;;Hombres;Todas las edades;Total;2021;4.182.620
Total Nacional;01 Andalucía;;Hombres;Todas las edades;Área densamente poblada;2025;1.979.764
Total Nacional;01 Andalucía;;Hombres;Todas las edades;Área densamente poblada;2024;1.970.907
Total Nacional;01 Andalucía;;Hombres;Todas las edades;Área densamente poblada;2023;1.961.199
Total Nacional;01 Andalucía;;Hombres;Todas las edades;Área densamente poblada;2022;1.945.782
Total Nacional;01 Andalucía;;Hombres;Todas las edades;Área densamente poblada;2021;1.947.452
Total Nacional;01 Andalucía;;Hombres;Todas las edades;Área poblada nivel intermedio;2025;1.787.855
