Año;Concepto;Tipo territorio;Código territorio;Territorio;Valor;Unidad;Estado dato
2017;Temperatura media anual en el observatorio de Alcalá de Henares (El Encín);Otros;;;15.3;Grados centígrados;
2017;Temperatura media anual en el observatorio de Colmenar Viejo (FAMET);Otros;;;14.8;Grados centígrados;
2017;Temperatura media anual en el observatorio de Getafe (Base Aérea);Otros;;;16.7;Grados centígrados;
2017;Temperatura media anual en el observatorio de Torrejón de Ardoz (Base Aérea);Otros;;;15.7;Grados centígrados;
2018;Temperatura media anual en el observatorio de Torrejón de Ardoz (Base Aérea);Otros;;;14.8;Grados centígrados;
2018;Temperatura media anual en el observatorio de Alcalá de Henares (El Encín);Otros;;;14.6;Grados centígrados;
2018;Temperatura media anual en el observatorio de Puentes Viejas (Presa de Puentes Viejas);Otros;;;-;Grados centígrados;
2018;Temperatura media anual en el observatorio de Colmenar Viejo (FAMET);Otros;;;13.3;Grados centígrados;
2018;Temperatura media anual en el observatorio de Getafe (Base Aérea);Otros;;;15.6;Grados centígrados;
2019;Temperatura media anual en el observatorio de Colmenar Viejo (FAMET);Otros;;;14.2;Grados centígrados;
2019;Temperatura media anual en el observatorio de Getafe (Base Aérea);Otros;;;16.4;Grados centígrados;
2019;Temperatura media anual en el observatorio de Puentes Viejas (Presa de Puentes Viejas);Otros;;;-;Grados centígrados;
2019;Temperatura media anual en el observatorio de Torrejón de Ardoz (Base Aérea);Otros;;;15.3;Grados centígrados;
2019;Temperatura media anual en el observatorio de Alcalá de Henares (El Encín);Otros;;;15.1;Grados centígrados;
2020;Temperatura media anual en el observatorio de Puentes Viejas (Presa de Puentes Viejas);Otros;;;-;Grados centígrados;
2020;Temperatura media anual en el observatorio de Alcalá de Henares (El Encín);Otros;;;-;Grados centígrados;
2020;Temperatura media anual en el observatorio de Getafe (Base Aérea);Otros;;;16.4;Grados centígrados;
2020;Temperatura media anual en el observatorio de Torrejón de Ardoz (Base Aérea);Otros;;;15.0;Grados centígrados;
2020;Temperatura media anual en el observatorio de Colmenar Viejo (FAMET);Otros;;;14.1;Grados centígrados;
2021;Temperatura media anual en el observatorio de Torrejón de Ardoz (Base Aérea);Otros;;;15.9;Grados centígrados;
2021;Temperatura media anual en el observatorio de Puentes Viejas (Presa de Puentes Viejas);Otros;;;-;Grados centígrados;
2021;Temperatura media anual en el observatorio de Alcalá de Henares (El Encín);Otros;;;14.7;Grados centígrados;
2021;Temperatura media anual en el observatorio de Getafe (Base Aérea);Otros;;;13.8;Grados centígrados;
2021;Temperatura media anual en el observatorio de Colmenar Viejo (FAMET);Otros;;;14.1;Grados centígrados;
2022;Temperatura media anual en el observatorio de Alcalá de Henares (El Encín);Otros;;;16.2;Grados centígrados;
2022;Temperatura media anual en el observatorio de Torrejón de Ardoz (Base Aérea);Otros;;;15.9;Grados centígrados;
2022;Temperatura media anual en el observatorio de Colmenar Viejo (FAMET);Otros;;;15.1;Grados centígrados;
2022;Temperatura media anual en el observatorio de Puentes Viejas (Presa de Puentes Viejas);Otros;;;-;Grados centígrados;
2022;Temperatura media anual en el observatorio de Getafe (Base Aérea);Otros;;;17.3;Grados centígrados;
2023;Temperatura media anual en el observatorio de Colmenar Viejo (FAMET);Otros;;;14.7;Grados centígrados;
2023;Temperatura media anual en el observatorio de Getafe (Base Aérea);Otros;;;16.9;Grados centígrados;
2023;Temperatura media anual en el observatorio de Torrejón de Ardoz (Base Aérea);Otros;;;15.4;Grados centígrados;
2023;Temperatura media anual en el observatorio de Puentes Viejas (Presa de Puentes Viejas);Otros;;;-;Grados centígrados;
2023;Temperatura media anual en el observatorio de Alcalá de Henares (El Encín);Otros;;;15.6;Grados centígrados;
2024;Temperatura media anual en el observatorio de Colmenar Viejo (FAMET);Otros;;;14.6;Grados centígrados;
2024;Temperatura media anual en el observatorio de Torrejón de Ardoz (Base Aérea);Otros;;;15.5;Grados centígrados;
2024;Temperatura media anual en el observatorio de Puentes Viejas (Presa de Puentes Viejas);Otros;;;-;Grados centígrados;
2024;Temperatura media anual en el observatorio de Alcalá de Henares (El Encín);Otros;;;15.8;Grados centígrados;
2024;Temperatura media anual en el observatorio de Getafe (Base Aérea);Otros;;;16.8;Grados centígrados;
